id,latitude,longitude
187b0e25-e1e9-412d-a483-5733e26fc580,34.1911,-118.10627
52b86a51-c623-46d4-8b71-da87b3fc6af5,34.40979,-119.28997
9fccb966-1fab-4be8-bd44-799c74dbb10c,33.9901,-118.34306
4aff8e6c-ff8e-481c-97d0-19fb21021038,33.30402,-112.04703
89dad46b-2ac5-42a2-81a2-e88aec428c8f,38.00614,-121.8026
94f952c0-2cef-455e-b909-002ff744b61f,33.98313,-117.52471
b20a7ed1-5bc7-4d0c-819c-4a4439a68bdd,37.32998,-120.52941
7184eb41-967f-4613-9d00-a59a0f3785c0,33.53167,-117.69798
98e37ed1-837f-481c-b5b5-e983c76eff49,33.66871,-116.94613
7cf359a1-23ab-4a7f-b5cd-4a68fe8126e5,37.91041,-121.03196
bea8e4b1-a950-4e30-9525-b184a88e1de5,33.59687,-112.44038
269cb162-db78-4ae3-9ed5-ab9e4c0369e8,34.42968,-119.28552
5f8eb916-3946-4dfc-9eda-c21942500c01,37.40404,-121.86892
74d834be-0495-4519-b578-6d5940ca4004,33.88248,-117.94297
a063172d-c4b5-4890-b36a-8ccb049fc992,34.12605,-117.60637
cbc8a1f9-cc48-4e94-81cd-d8e492a1f4fa,34.3006,-118.51153
749162e0-d235-4abf-b70d-45e81bff9f7b,34.01506,-117.58552
94576b9e-6863-4b00-83ac-37d1e21dfeea,32.08369,-96.70877
ca2f2bea-4518-4983-84eb-8ece3e8738ae,34.08433,-118.69475
2d4e4fbf-35b8-443f-8e8b-0ef902cc0903,38.95359,-122.73743
5315b00a-d76d-4338-8781-9b4aea92351a,37.38809,-122.07481
7be91d83-f190-4cd1-976f-f24b06a3b10c,34.24737,-118.52949
8380a2f8-01fd-484e-91fd-6f9ad8a221b7,34.21637,-118.24265
e666f9ce-4027-44e0-8f39-6a99231cc07b,33.52953,-117.68992
e2cdecbf-2a9d-4e71-8492-e4a582e5e5e2,38.79131,-123.02265
9647fc5f-1d17-4824-8cf0-4863f024b287,33.99484,-117.93719
de371378-c2ab-4312-b95e-fd257723d7f4,36.29958,-119.28074
94d2e4fa-01f3-4028-922b-02d7e1ce80a4,33.12724,-117.33167
c1bce73d-25d4-4bb2-9c0b-d0c0506cfc3d,36.53776,-119.59755
17eab3cb-0e76-4b6a-b975-76f0363e7684,33.57618,-117.58265
49c2ea10-0dac-4e15-9a8e-c596e502bf24,34.01032,-117.80861
27a50a4a-751b-41b3-919b-df95518d29ce,37.31415,-121.9112
5805f1da-378d-4ce6-b5c2-9c8a9720ba88,37.37621,-121.79303
c0f73205-301c-4d8a-bac6-308eb30d67a8,33.68759,-118.01611
2505f643-0435-4298-8e73-cb6bcd81a422,32.54778,-117.05412
872602ba-0931-4746-8044-669e192ef826,33.88089,-118.35619
3dfc02f2-21ca-4759-bb84-b822a0763092,32.61338,-116.97861
dae76e89-cf67-4067-94ba-270be37e33dc,37.35271,-121.8051
d10cadbe-0f66-4cdd-b550-8a8c44995a3d,34.19311,-118.19307
161234e2-1abe-4b50-a66c-1388118e341b,33.79179,-117.77568
6e62621c-0c11-4f1d-a40a-94f24fe9c4ba,38.50365,-122.47433
8da7368f-597e-4515-ba46-19feebd9a8bf,34.24457,-118.54959
44037e0c-cdc5-43f8-8018-60a843bf0fed,33.79954,-117.84443
ea13d62c-f87e-446f-ba44-84331e5e9cf0,34.27227,-118.59427
22ccfdea-cc6b-453b-9bcc-df2fd936d241,36.84893,-119.66168
56f61d8a-675d-4386-804d-cc3562a0e25f,37.75872,-121.43978
83941791-f982-4fa6-aa8f-27a56a37a606,36.57683,-119.60461
9078736f-5bd1-4fd0-a9a8-bf8f0fb333a0,39.06814,-122.60267
afd8fe76-74ba-472a-a25c-69703a0d3c9d,34.21415,-118.2022
d06977ab-ebd0-4a57-89d6-586cc902ea78,34.46595,-118.52745
23fed5ef-ffe8-466c-89f2-24b04a87b750,37.7045,-121.44068
d16946c6-582d-4f08-9c4d-fda6d97308ac,34.42679,-119.78575
421a3fcc-42cc-48a3-94bf-8c54bfe8493b,33.66437,-112.42054
dfda8ae9-6bea-44f9-acd5-14c17954fa9e,33.24246,-111.66466
910c184b-ab8e-484a-a47f-8969d23b2e75,36.19075,-119.32122
e0971c48-3ead-4283-891a-d1bd798feb5e,37.27468,-121.96701
6ea3fa37-a222-4ffb-a6d0-a0d77d89a1ec,36.67986,-119.61688
fda71a25-f61f-44ab-8f14-4e2011416c21,34.51101,-118.32355
68c3d1bd-026d-4e51-9825-8e5ce125b644,34.18368,-118.55728
a4c2f7e6-ffb3-4d77-8921-93221b7a3172,34.37638,-118.53353
9cb7cfa1-12d4-41c3-aee0-2aa24f134a99,38.42901,-122.34259
f0e750ae-d225-4511-b362-c1a30f7be964,38.29332,-122.2732
c5492d8c-3bed-465f-bd5a-a2ac2887f614,33.82797,-117.57484
d322d49f-0f6f-417f-8f32-9d1c74a11487,37.43765,-122.43318
8bbcc98c-503d-4f1a-a774-23133b1b3d89,33.57418,-117.73943
5d20105f-b23e-4d43-b358-907262db08db,38.56833,-121.75749
f03b508c-00c0-48df-bc13-518b7042c616,34.1186,-117.14819
fa69aab2-2da0-418c-b64e-3fc5a216456a,33.85775,-116.53671
b4d842e7-5858-4f0a-b5ee-f1b0a9441b10,33.76318,-118.00062
5f23545a-0530-406a-bd85-625e3f9ed60f,33.67843,-112.25982
b7ef4880-0455-4622-9a04-1293f651492d,38.48266,-122.61041
b7c4d4ea-a6c9-4b44-ba4f-f9fcc0997879,34.05893,-118.31289
bb977a77-9549-404d-a853-c00a22597911,34.1521,-118.61881
d2ee2865-be55-4b9f-b74e-a93793b11f79,37.98238,-122.08531
4647dbda-a889-4d39-b09b-e423b93f366a,34.25409,-118.37362
fe7b076c-232f-4e88-be24-5b0f26096cf8,32.58188,-117.01285
701b4c54-0302-4414-87f0-b8e8abca8a22,33.00818,-96.6035
88ae42dc-c4f7-4cbc-bf81-08e12f13ce59,37.5746,-122.04214
7a64b5dd-d43e-4f31-9bd8-303bd80e235b,37.59293,-122.50145
fbcdbe97-7212-44c6-9850-5afdafb7af8d,34.02611,-117.58627
4909e6ba-b794-43f9-b186-bf028a15022f,33.73941,-118.32775
c167cdde-a91d-45eb-825d-183d2adcaedc,37.13839,-121.65284
0a61b85a-7a86-4aea-a88f-12db076fa0fe,37.44751,-121.89312
a55829f5-74a0-4215-b5ae-998bf6b0f635,34.2544,-118.36736
98abe4ca-1d13-433c-a9f5-7ab8df85be10,34.1861,-117.41606
75eeced4-d538-4d31-8b41-c3c356a5c22d,38.46489,-122.72839
fe61001c-69b1-4404-93d4-f38eee7512e0,33.7531,-117.87834
eeffa9ad-9b0f-4c3e-ade2-c801214ba55b,37.36581,-119.60277
6b2adc79-819e-4567-bb1e-aedf1b7b9b04,33.36954,-111.89105
8388ea47-8132-4da8-bad8-5d4f237dffce,34.10807,-118.11482
76d7eea8-3b0c-4942-9b73-0b8ca3881e0d,37.78146,-121.54702
67657b16-eb53-4573-be8e-877f0d45b0a3,35.37482,-119.15545
dc44beb4-76b2-4c56-bcce-7fccc9dccf4e,33.39916,-117.59803
08cb29c2-0bc8-45a6-8ef0-cdf4135ee4a7,34.50339,-119.35564
1f8dfb52-b4c1-4c77-8fd5-77382995f8cb,33.44583,-112.41258
8ff4869c-7ecb-4ca3-a056-bf9b5e654a13,38.34746,-121.98277
98d92b36-9798-48f4-a86f-ca484a3557aa,34.15515,-117.6407
0b88a235-e56c-45f0-82c5-e3e166a33c47,34.07304,-118.41901
77fb70c0-132b-40c7-800a-d2b7fa8004db,34.11715,-118.09869
66547298-14c8-4a14-a785-144685ce8834,33.89484,-118.01283
7dc59f0d-dd08-4cbb-9c3e-2d5f9df12f41,34.53295,-117.227
82447b21-b8e4-4450-8f91-b6cc93709437,38.57953,-122.52182
e4e382c3-ffa3-42c3-8488-35fb9a8d50ac,38.5228,-122.38725
bcb1ea9e-aa13-4f19-a08d-c42742844b17,38.383,-121.97347
e42aee7f-c774-4ccd-9ab7-b5df25000b20,33.39091,-111.89467
f0bde9cd-5fe8-4098-84aa-c712e1cae6d0,32.91182,-117.19829
0b3dd76b-a3da-42b9-aa58-69658dc78c71,38.51558,-122.75555
1c17a640-1c4c-41be-9777-907ca17dd52e,33.26137,-117.09181
6cc59b91-4427-4e55-88b7-e92a8f78975a,37.51215,-121.92781
f3b4f3c5-aa3b-49a3-8af8-ec815fafdd9a,34.20361,-118.62349
0f0fb43c-b509-4663-a99c-0f7803eb4f0e,37.68996,-122.11054
6d817867-0caa-4deb-9c61-da3160934c4b,33.83291,-118.20134
6d61027e-a64e-4d88-a4a4-9cceb5511fd4,38.3801,-122.89631
425417d1-048b-44a1-81f2-2f5b2b7e0510,34.13716,-117.50787
94150527-027c-405f-aa1f-3f6aadacb396,34.16708,-118.41589
406fbcfc-df97-45bd-aa14-30bec2573da6,37.53727,-122.27232
5a0db4fb-d13e-4709-9ca2-7a2ef1643136,32.65035,-97.48305
d590754a-a232-485c-9757-a7001e0e1192,38.28923,-122.01515
c3f02898-1563-4212-942f-4614706af641,33.68367,-117.26543
fd39c088-35b7-4788-b364-5364ed596e23,33.59283,-117.67038
18b296ad-3ca3-45b3-aefc-10a042128405,33.99835,-118.45826
752c4b6d-bde6-4bca-8570-1269012643b8,32.59361,-96.39742
87fca5ea-a8a3-4ca4-af8a-8696ddabdcb6,37.37593,-121.81355
545d194f-e6c0-4812-8f3e-e6249e235aca,37.45784,-122.25901
